outcome,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population
death,202304,80+,vaccinated,204,3137915,115,593820.55
death,202304,80+,vax with updated booster,81,1710899,115,593820.55
death,202304,all_ages,vaccinated,377,65733818,254,21699917.1
death,202304,all_ages,vax with updated booster,112,17044875,254,21699917.1
death,202305,0.5-4,vaccinated,0,293361,0,4658147
death,202305,0.5-4,vax with updated booster,0,24224,0,4658147
death,202305,12-17,vaccinated,0,5629919,0,3924940.65
death,202305,12-17,vax with updated booster,0,653161,0,3924940.65
death,202305,18-29,vaccinated,0,12899306,4,7434086.45
death,202305,18-29,vax with updated booster,0,1403875,4,7434086.45
death,202305,30-49,vaccinated,7,22241676,12,8443719.1
death,202305,30-49,vax with updated booster,0,3783584,12,8443719.1
death,202305,5-11,vaccinated,0,3240907,0,8285188
death,202305,5-11,vax with updated booster,0,419630,0,8285188
death,202305,50-64,vaccinated,27,16739487,47,3975745.3
death,202305,50-64,vax with updated booster,8,4537512,47,3975745.3
death,202305,65-79,vaccinated,108,10515656,85,1236733.7
death,202305,65-79,vax with updated booster,23,5858691,85,1236733.7
death,202305,80+,vaccinated,165,3122921,123,593693.55
death,202305,80+,vax with updated booster,86,1731564,123,593693.55
death,202305,all_ages,vaccinated,307,65519046,271,21683978.1
death,202305,all_ages,vax with updated booster,117,17315226,271,21683978.1
death,202306,0.5-4,vaccinated,0,293614,1,4650468
death,202306,0.5-4,vax with updated booster,0,29270,1,4650468
death,202306,12-17,vaccinated,0,5621423,0,3922694.65
death,202306,12-17,vax with updated booster,0,664029,0,3922694.65
death,202306,18-29,vaccinated,1,12885608,3,7428129.45
death,202306,18-29,vax with updated booster,1,1427190,3,7428129.45
death,202306,30-49,vaccinated,10,22205171,12,8436145.1
death,202306,30-49,vax with updated booster,1,3832557,12,8436145.1
death,202306,5-11,vaccinated,0,3233304,1,8281504
death,202306,5-11,vax with updated booster,0,431052,1,8281504
death,202306,50-64,vaccinated,26,16689229,32,3972829.3
death,202306,50-64,vax with updated booster,8,4595006,32,3972829.3
death,202306,65-79,vaccinated,99,10471587,75,1236598.7
death,202306,65-79,vax with updated booster,31,5912837,75,1236598.7
death,202306,80+,vaccinated,174,3111805,90,593587.55
death,202306,80+,vax with updated booster,52,1747018,90,593587.55
death,202306,all_ages,vaccinated,310,65363400,212,21667290.1
death,202306,all_ages,vax with updated booster,93,17514608,212,21667290.1
death,202307,0.5-4,vaccinated,0,293768,0,4643380
death,202307,0.5-4,vax with updated booster,0,34274,0,4643380
death,202307,12-17,vaccinated,0,5613950,1,3920632.65
death,202307,12-17,vax with updated booster,0,673782,1,3920632.65
death,202307,18-29,vaccinated,2,12874008,0,7422902.45
death,202307,18-29,vax with updated booster,0,1448186,0,7422902.45
death,202307,30-49,vaccinated,4,22174995,10,8429724.1
death,202307,30-49,vax with updated booster,2,3874047,10,8429724.1
death,202307,5-11,vaccinated,0,3226515,1,8278425
death,202307,5-11,vax with updated booster,0,441381,1,8278425
death,202307,50-64,vaccinated,22,16648500,30,3970623.3
death,202307,50-64,vax with updated booster,6,4641621,30,3970623.3
death,202307,65-79,vaccinated,102,10437528,51,1236482.7
death,202307,65-79,vax with updated booster,30,5954446,51,1236482.7
death,202307,80+,vaccinated,161,3103345,88,593490.55
death,202307,80+,vax with updated booster,67,1758794,88,593490.55
death,202307,all_ages,vaccinated,291,65238376,179,21653223.1
death,202307,all_ages,vax with updated booster,105,17677094,179,21653223.1
death,202308,0.5-4,vaccinated,0,293909,1,4637064
death,202308,0.5-4,vax with updated booster,0,38967,1,4637064
death,202308,12-17,vaccinated,0,5607434,0,3918440.65
death,202308,12-17,vax with updated booster,0,682829,0,3918440.65
death,202308,18-29,vaccinated,3,12865214,0,7417907.45
death,202308,18-29,vax with updated booster,0,1464942,0,7417907.45
death,202308,30-49,vaccinated,3,22149524,7,8423498.1
death,202308,30-49,vax with updated booster,1,3910686,7,8423498.1
death,202308,5-11,vaccinated,0,3220295,1,8275425
death,202308,5-11,vax with updated booster,0,451031,1,8275425
death,202308,50-64,vaccinated,28,16614164,25,3968507.3
death,202308,50-64,vax with updated booster,7,4681970,25,3968507.3
death,202308,65-79,vaccinated,72,10408493,70,1236350.7
death,202308,65-79,vax with updated booster,33,5990751,70,1236350.7
death,202308,80+,vaccinated,132,3096114,96,593387.55
death,202308,80+,vax with updated booster,78,1768933,96,593387.55
death,202308,all_ages,vaccinated,238,65133509,198,21639651.1
death,202308,all_ages,vax with updated booster,119,17817282,198,21639651.1
death,202309,0.5-4,vaccinated,0,294053,1,4630256
death,202309,0.5-4,vax with updated booster,0,43205,1,4630256
death,202309,12-17,vaccinated,0,5601964,0,3916490.65
death,202309,12-17,vax with updated booster,0,690338,0,3916490.65
death,202309,18-29,vaccinated,1,12857978,3,7412529.45
death,202309,18-29,vax with updated booster,0,1479144,3,7412529.45
death,202309,30-49,vaccinated,5,22128321,7,8417259.1
death,202309,30-49,vax with updated booster,2,3941189,7,8417259.1
death,202309,5-11,vaccinated,0,3215103,0,8272562
death,202309,5-11,vax with updated booster,0,459277,0,8272562
death,202309,50-64,vaccinated,20,16584672,13,3966402.3
death,202309,50-64,vax with updated booster,2,4716212,13,3966402.3
death,202309,65-79,vaccinated,80,10383290,69,1236224.7
death,202309,65-79,vax with updated booster,30,6021799,69,1236224.7
death,202309,80+,vaccinated,113,3089627,60,593301.55
death,202309,80+,vax with updated booster,53,1777959,60,593301.55
death,202309,all_ages,vaccinated,219,65043888,152,21625717.1
death,202309,all_ages,vax with updated booster,87,17936303,152,21625717.1
death,202310,0.5-4,vaccinated,0,294119,1,4624166
death,202310,0.5-4,vax with updated booster,0,46954,1,4624166
death,202310,12-17,vaccinated,0,5596065,0,3914594.65
death,202310,12-17,vax with updated booster,0,698445,0,3914594.65
death,202310,18-29,vaccinated,1,12851537,3,7406741.45
death,202310,18-29,vax with updated booster,0,1491801,3,7406741.45
death,202310,30-49,vaccinated,5,22109544,12,8411009.1
death,202310,30-49,vax with updated booster,0,3968223,12,8411009.1
death,202310,5-11,vaccinated,1,3209235,0,8269890
death,202310,5-11,vax with updated booster,0,467913,0,8269890
death,202310,50-64,vaccinated,13,16559361,21,3964608.3
death,202310,50-64,vax with updated booster,2,4745668,21,3964608.3
death,202310,65-79,vaccinated,53,10363021,59,1236107.7
death,202310,65-79,vax with updated booster,23,6046994,59,1236107.7
death,202310,80+,vaccinated,98,3084386,74,593230.55
death,202310,80+,vax with updated booster,62,1785357,74,593230.55
death,202310,all_ages,vaccinated,170,64967849,169,21611697.1
death,202310,all_ages,vax with updated booster,87,18038043,169,21611697.1
death,202311,0.5-4,vaccinated,0,294252,1,4618609
death,202311,0.5-4,vax with updated booster,0,50679,1,4618609
death,202311,12-17,vaccinated,0,5591118,1,3912616.65
death,202311,12-17,vax with updated booster,0,705299,1,3912616.65
death,202311,18-29,vaccinated,1,12845330,1,7401147.45
death,202311,18-29,vax with updated booster,0,1504688,1,7401147.45
death,202311,30-49,vaccinated,6,22092571,5,8404925.1
death,202311,30-49,vax with updated booster,0,3993631,5,8404925.1
death,202311,5-11,vaccinated,0,3204701,0,8267013
death,202311,5-11,vax with updated booster,0,475021,0,8267013
death,202311,50-64,vaccinated,9,16535695,17,3962814.3
death,202311,50-64,vax with updated booster,3,4773423,17,3962814.3
death,202311,65-79,vaccinated,47,10343786,43,1235990.7
death,202311,65-79,vax with updated booster,17,6071133,43,1235990.7
death,202311,80+,vaccinated,88,3079754,53,593180.55
death,202311,80+,vax with updated booster,44,1791891,53,593180.55
death,202311,all_ages,vaccinated,151,64897136,119,21598058.1
death,202311,all_ages,vax with updated booster,64,18134766,119,21598058.1
death,202312,0.5-4,vaccinated,0,294365,0,4613142
death,202312,0.5-4,vax with updated booster,0,54383,0,4613142
death,202312,12-17,vaccinated,0,5586257,0,3910610.65
death,202312,12-17,vax with updated booster,0,711968,0,3910610.65
death,202312,18-29,vaccinated,1,12839023,1,7395307.45
death,202312,18-29,vax with updated booster,0,1518137,1,7395307.45
death,202312,30-49,vaccinated,4,22076140,5,8398497.1
death,202312,30-49,vax with updated booster,0,4018970,5,8398497.1
death,202312,5-11,vaccinated,0,3200505,0,8264064
death,202312,5-11,vax with updated booster,0,481714,0,8264064
death,202312,50-64,vaccinated,11,16513369,15,3961005.3
death,202312,50-64,vax with updated booster,7,4799683,15,3961005.3
death,202312,65-79,vaccinated,45,10325185,39,1235916.7
death,202312,65-79,vax with updated booster,17,6094339,39,1235916.7
death,202312,80+,vaccinated,59,3075464,45,593117.55
death,202312,80+,vax with updated booster,44,1797960,45,593117.55
death,202312,all_ages,vaccinated,120,64829181,105,21583844.1
death,202312,all_ages,vax with updated booster,68,18229089,105,21583844.1
death,202313,0.5-4,vaccinated,1,294372,0,4607853
death,202313,0.5-4,vax with updated booster,0,57684,0,4607853
death,202313,12-17,vaccinated,0,5581230,0,3908858.65
death,202313,12-17,vax with updated booster,0,718744,0,3908858.65
death,202313,18-29,vaccinated,1,12833103,0,7389831.45
death,202313,18-29,vax with updated booster,0,1530433,0,7389831.45
death,202313,30-49,vaccinated,2,22060897,6,8392453.1
death,202313,30-49,vax with updated booster,1,4042227,6,8392453.1
death,202313,5-11,vaccinated,0,3195957,1,8261306
death,202313,5-11,vax with updated booster,0,488652,1,8261306
death,202313,50-64,vaccinated,8,16493161,12,3959397.3
death,202313,50-64,vax with updated booster,4,4823263,12,3959397.3
death,202313,65-79,vaccinated,38,10308934,24,1235821.7
death,202313,65-79,vax with updated booster,19,6114700,24,1235821.7
death,202313,80+,vaccinated,53,3071802,37,593061.55
death,202313,80+,vax with updated booster,41,1803174,37,593061.55
death,202313,all_ages,vaccinated,102,64767897,79,21570565.1
death,202313,all_ages,vax with updated booster,65,18313797,79,21570565.1
